movie_id,year,genres,averagerating,numvotes,title_new
tt0473343,2010,"Drama,Thriller",6.9,35,cielito lindo
tt0475239,2012,"Action,Drama",7.9,23,clutch
tt0475290,2016,"Comedy,Drama,Music",6.3,111422,"hail, caesar!"
tt0476023,2010,Comedy,7.3,64,stiffs
tt0477080,2010,"Action,Thriller",6.8,173019,unstoppable
tt0477302,2011,"Adventure,Drama,Mystery",6.9,93164,extremely loud & incredibly close
tt0478304,2011,"Drama,Fantasy",6.8,156266,the tree of life
tt0478660,2010,"Fantasy,Horror,Thriller",6.2,10,el horror de la dama del lago
tt0478970,2015,"Action,Adventure,Comedy",7.3,501213,ant-man
tt0479051,2010,"Drama,Sport",6.5,40,the greater meaning of water
tt0479204,2010,"Horror,Thriller",4.3,399,perfect life
tt0479997,2011,"Action,Adventure,Fantasy",5.4,85777,season of the witch
tt0480239,2011,"Drama,Mystery,Sci-Fi",5.7,12524,atlas shrugged: part i
tt0480255,2010,"Action,Adventure,Crime",6.4,83876,the losers
tt0480687,2011,"Comedy,Romance",5.9,113775,hall pass
tt0481470,2013,"Biography,Documentary,History",7.5,12,felix austria!
tt0481499,2013,"Action,Adventure,Animation",7.2,176699,the croods
tt0482459,2010,"Drama,Music,Romance",6.8,402,bandage
tt0482461,2010,"Comedy,Drama,Romance",5.9,3846,barry munday
tt0483586,2010,"Family,Sport",6.5,759,chasing 3000
tt0483740,2011,Comedy,7.6,28,monkey man
tt0484828,2011,"Adventure,Comedy",3.0,186,la daga de rasputín
tt0485061,2013,"Drama,Thriller",6.3,2288,u want me 2 kill him?
tt0485521,2012,"Comedy,Drama",6.3,336,sushi in suhl
tt0485985,2012,"Action,Adventure,Drama",5.9,31815,red tails
tt0486622,2012,Drama,6.7,59,making change
tt0490075,2013,"Crime,Thriller",5.1,271,aftermath
tt0490199,2010,"Comedy,Drama",6.7,63,primemates
tt0490215,2016,"Adventure,Drama,History",7.2,85242,silence
tt0490236,2010,"Horror,Thriller",4.2,240,the invited
tt0490847,2011,"Action,Crime,Drama",5.2,52,double tap
tt0491152,2011,"Comedy,Drama,Romance",5.9,54314,something borrowed
tt0491175,2017,"Comedy,Crime,Drama",5.6,31294,suburbicon
tt0491203,2017,"Drama,History,Romance",6.2,15037,tulip fever
tt0492389,2010,"Comedy,Family",3.8,14700,furry vengeance
tt0493076,2016,"Biography,Drama,Music",5.3,2246,nina
tt0493405,2017,"Action,Comedy,Crime",6.0,37029,chips
tt0493949,2010,"Adventure,Comedy,Family",6.6,16086,ramona and beezus
tt0494229,2010,Drama,7.3,22,good sharma
tt0495024,2012,"Horror,Mystery,Romance",5.6,78,bad blood
tt0495037,2010,"Crime,Drama",6.2,12,o inimigo sem rosto
tt0496375,2013,"Action,Adventure,Horror",3.7,1106,prisoners of the sun
tt0498351,2014,"Animation,Family",4.0,431,the hero of color city
tt0498381,2017,"Drama,Horror,Mystery",4.5,34151,rings
tt0499608,2010,"Drama,Fantasy,Romance",5.6,31,tranced
tt0756727,2010,"Biography,Documentary,Music",7.7,1332,who is harry nilsson (and why is everybody talkin' about him?)
tt0758752,2010,"Comedy,Drama,Romance",6.7,167680,love & other drugs
tt0762138,2013,"Comedy,Drama,Romance",5.7,10228,syrup
tt0763831,2012,"Comedy,Drama",5.9,36387,a thousand words
tt0765446,2013,"Adventure,Animation,Comedy",5.9,23298,escape from planet earth
tt0765465,2019,"Animation,Family,Fantasy",4.9,331,the legend of secret pass
tt0765485,2010,"Adventure,Comedy,Sci-Fi",5.2,54,waste of space
tt0768187,2010,"Family,Fantasy",6.1,111,me and my umbrella
tt0768222,2013,"Horror,Mystery",5.9,5392,night of the templar
tt0770703,2011,"Comedy,Romance",6.1,67922,what's your number?
tt0770728,2011,Drama,6.0,20,california indian
tt0770778,2010,"Drama,Fantasy,Thriller",4.0,449,king of the avenue
tt0770802,2011,"Documentary,Music",8.5,29725,samsara
tt0770828,2013,"Action,Adventure,Sci-Fi",7.1,647288,man of steel
tt0772175,2014,"Action,Thriller",7.2,115,jersey justice
tt0772179,2011,"Comedy,Horror,Thriller",4.5,95,kill
tt0774519,2010,"Drama,Thriller",6.3,19,the chosen heaven
tt0775440,2016,"Action,Drama,Horror",4.3,21968,cell
tt0775461,2010,"Family,Fantasy",5.4,70,the rain fairy
tt0775489,2010,"Animation,Drama",7.5,31734,the illusionist
tt0775543,2010,"Drama,Romance",6.3,1390,night catches us
tt0780504,2011,"Crime,Drama",7.8,521495,drive
tt0780548,2014,"Biography,Comedy,Crime",6.4,8924,kid cannabis
tt0780625,2013,"Comedy,Drama",4.6,124,santorini blue
tt0780645,2011,"Action,Adventure,Horror",4.1,2378,war of the dead
tt0780653,2010,"Drama,Fantasy,Horror",5.8,97873,the wolfman
tt0781441,2011,Thriller,4.5,43,escalade
tt0782047,2010,Thriller,5.6,85,irreversi
tt0787442,2012,"Drama,Mystery,War",7.1,3733,the attack
tt0787474,2014,"Adventure,Animation,Comedy",6.8,50763,the boxtrolls
tt0787524,2015,"Biography,Drama",7.2,43575,the man who knew infinity
tt0790628,2013,"Adventure,Comedy,Fantasy",5.9,67549,the incredible burt wonderstone
tt0790636,2013,"Biography,Drama",8.0,402462,dallas buyers club
tt0790653,2012,"Comedy,Romance",6.2,463,elliot loves
tt0790663,2010,"Biography,Drama,Romance",7.5,4052,the first grader
tt0790724,2012,"Action,Crime,Thriller",7.0,284547,jack reacher
tt0790736,2013,"Action,Adventure,Comedy",5.6,109078,r.i.p.d.
tt0790770,2015,"Biography,Drama,Music",6.4,8498,miles ahead
tt0790788,2012,Thriller,6.6,1695,the yellow wallpaper
tt0795459,2011,"Documentary,Drama",6.8,748,wilde salomé
tt0795461,2013,Comedy,3.5,60139,scary movie 5
tt0798817,2010,"Drama,Thriller",6.1,38418,13
tt0800054,2010,"Comedy,Family",7.8,68,the guardians
tt0800092,2010,"Biography,Drama",4.3,6,ironmen
tt0800320,2010,"Action,Adventure,Fantasy",5.8,256176,clash of the titans
tt0800325,2019,"Biography,Comedy,Drama",7.0,26876,the dirt
tt0800353,2010,Drama,6.6,67,nemesis
tt0800369,2011,"Action,Adventure,Fantasy",7.0,683264,thor
tt0803061,2011,"Biography,Comedy,Drama",7.4,15357,red dog
tt0803096,2016,"Action,Adventure,Fantasy",6.9,225557,warcraft
tt0804463,2013,"Biography,Crime,Drama",6.1,18716,devil's knot
tt0804483,2010,Documentary,7.7,9,folk!
tt0804497,2010,"Comedy,Drama,Romance",7.1,125583,it's kind of a funny story
tt0804509,2013,"Comedy,Drama",6.2,653,the mule
tt0805617,2011,"Action,Drama,Fantasy",6.6,108,spoon
tt0808245,2010,Documentary,7.6,799,a letter to elia
tt0808447,2013,"Documentary,Music",9.3,42,the last pogo jumps again
tt0808510,2010,"Comedy,Family,Fantasy",5.0,37939,tooth fairy
tt0810772,2012,"Drama,Romance",5.3,1125,belle du seigneur
tt0810815,2010,Action,3.9,39,cross the line
tt0810819,2015,"Biography,Drama,Romance",7.1,146873,the danish girl
tt0810856,2011,Documentary,6.3,293,eyes of the mothman
tt0810913,2011,Comedy,3.3,71361,jack and jill
tt0810922,2011,"Comedy,Drama,Romance",6.3,48393,take me home tonight
tt0811021,2010,"Adventure,Animation,Family",4.0,165,plumíferos - aventuras voladoras
tt0811069,2011,"Drama,Music",7.4,65,lavoe
tt0811137,2012,Comedy,6.0,1627,the do-deca-pentathlon
tt0811613,2013,Drama,6.8,84,meridian lines
tt0813992,2010,Adventure,6.4,85,american flyer
tt0814255,2010,"Adventure,Family,Fantasy",5.9,165108,percy jackson & the olympians: the lightning thief
tt0815101,2010,Drama,7.1,68,ashes
tt0815236,2010,"Comedy,Romance",6.4,117245,she's out of my league
tt0816362,2010,Documentary,6.7,223,card subject to change
tt0816442,2013,"Drama,War",7.6,119023,the book thief
tt0816462,2011,"Action,Adventure,Fantasy",5.2,90834,conan the barbarian
tt0816648,2011,Drama,6.3,36,shanghai hotel
tt0816692,2014,"Adventure,Drama,Sci-Fi",8.6,1299334,interstellar
tt0816711,2013,"Action,Adventure,Horror",7.0,553751,world war z
tt0817177,2010,"Comedy,Drama,Romance",7.7,74937,flipped
tt0817230,2010,"Comedy,Romance",5.7,107171,valentine's day
tt0817545,2013,"Action,Crime,Drama",5.2,3322,the power of few
tt0818098,2010,Thriller,4.9,105,dreamkiller
tt0818172,2010,Drama,6.7,27,soupernatural
tt0821486,2016,"Comedy,Music,Romance",5.6,19,manhattan minutiae
tt0822847,2011,"Action,Adventure,Fantasy",5.7,108320,priest
tt0825282,2011,Drama,6.5,121,the long falling
tt0825283,2016,"Action,Adventure,Comedy",3.7,3913,maximum ride
tt0825334,2018,"Comedy,Drama",8.9,51,caravaggio and my mother the pope
tt0826532,2010,"Comedy,Horror",5.8,21,return to yucca flats: desert man-beast
tt0826823,2010,"Adventure,Family",3.2,94,magic
tt0828135,2012,Documentary,8.3,37,wild in the streets
tt0829150,2014,"Action,Drama,Fantasy",6.3,164829,dracula untold
tt0829176,2012,"Action,Horror,Thriller",3.6,6793,gallowwalkers
tt0831280,2010,Drama,6.0,1317,waking madison
tt0831387,2014,"Action,Adventure,Sci-Fi",6.4,350687,godzilla
tt0831881,2010,Documentary,7.4,33,land
tt0835418,2012,Comedy,5.0,8147,the babymakers
tt0835775,2014,"Action,Biography,Crime",4.6,701,electric slide
tt0835802,2017,"Comedy,Drama",5.3,846,krystal
tt0837156,2016,"Adventure,Comedy,Family",6.2,6362,pee-wee's big holiday
tt0837559,2013,"Crime,Drama,Romance",5.0,239,approaching midnight
tt0837562,2012,"Animation,Comedy,Family",7.1,204571,hotel transylvania
tt0837563,2019,"Horror,Mystery,Thriller",6.0,34472,pet sematary
tt0838194,2016,"Comedy,Drama,War",7.9,12,retreat!
tt0839742,2014,Drama,7.3,1830,bhopal: a prayer for rain
tt0840358,2010,"Documentary,Music",7.6,321,everyday sunshine: the story of fishbone
tt0840361,2010,"Crime,Drama,Thriller",7.6,322524,the town
tt0840789,2010,Western,6.1,70,río de oro
tt0841185,2012,"Comedy,Sci-Fi",6.6,50,whatever happened to pete blaggit?
tt0842926,2010,"Comedy,Drama,Romance",7.0,120656,the kids are all right
tt0843839,2013,"Drama,Fantasy,Mystery",7.4,35,the fallen word
tt0844699,2016,Documentary,9.0,5,ivan mosjoukine ou l'enfant du carnaval
tt0844866,2010,"Adventure,Crime,Drama",3.9,257,killer by nature
tt0844915,2011,"Comedy,Sci-Fi",7.5,56,pox
tt0844993,2011,"Animation,Comedy,Crime",4.8,11281,hoodwinked too! hood vs. evil
tt0846004,2010,Action,4.6,436,gangster exchange
tt0847180,2011,"Action,Comedy,Crime",3.6,278,loot
tt0847215,2010,"Horror,Thriller",2.3,418,neowolf
tt0847505,2013,Adventure,8.2,11,night traveler
tt0847735,2010,Comedy,4.5,15,fun in the army
tt0847825,2011,"Sci-Fi,Thriller",4.8,1503,the speed of thought
tt0848228,2012,"Action,Adventure,Sci-Fi",8.1,1183655,the avengers
tt0848537,2013,"Adventure,Animation,Family",6.7,95318,epic
tt0848554,2016,"Horror,Sci-Fi,Thriller",3.8,747,the sighting
tt0849437,2018,"Action,Drama,Sport",6.0,35,duel of legends
tt0850247,2018,Sci-Fi,5.6,13,amsteroid
tt0850677,2012,"Drama,Horror,Romance",4.5,2538,jack & diane
tt0850678,2015,Romance,6.1,15,jackson arms
tt0850709,2010,"Biography,Drama",5.3,182,risen
tt0851471,2012,"Adventure,Animation,Comedy",4.2,445,sir billi
tt0852986,2011,Comedy,5.2,72,naked run
tt0853002,2010,Drama,6.3,7,a summer song
tt0853155,2011,Documentary,6.8,198,this is what love in action looks like
tt0856796,2010,"Drama,Romance",6.0,135,kolorádó kid
tt0857190,2012,"Action,Crime,Drama",6.1,18095,the sweeney
tt0858411,2010,"Comedy,Horror",3.3,2141,2001 maniacs: field of screams
tt0858419,2019,Drama,5.4,202,bolden
tt0858422,2011,"Adventure,Horror,Thriller",5.6,87,immortal island
tt0858500,2010,"Comedy,Drama",5.7,69,wide blue yonder
tt0859635,2018,"Comedy,Crime,Mystery",6.1,20104,super troopers 2
tt0860907,2012,"Action,Animation,Drama",7.0,8215,evangelion: 3.0 you can (not) redo
tt0861747,2010,"Action,Adventure,Comedy",4.7,91,zenitram
tt0862748,2014,"Action,Adventure,Comedy",5.6,1288,lupin the 3rd
tt0862930,2018,"Horror,Thriller",6.9,307,dukun
tt0864835,2014,"Adventure,Animation,Comedy",6.8,57277,mr. peabody & sherman
tt0865557,2012,"Drama,Romance",6.5,75,letting go
tt0865561,2011,Comedy,4.9,595,6 month rule
tt0865911,2011,Mystery,6.6,11,catharsis
tt0870208,2010,Comedy,8.7,15,touch wood
tt0871891,2012,Comedy,5.0,7,the nightclub days
tt0871893,2010,Drama,4.9,162,"surprise, surprise"
tt0872230,2010,"Horror,Mystery,Thriller",4.8,18381,my soul to take
tt0873886,2011,"Action,Crime,Horror",6.2,59266,red state
tt0874268,2017,"Drama,Thriller",7.5,42,the dot man
tt0874421,2010,Documentary,6.8,55,beijing taxi
tt0874426,2010,Thriller,7.6,15,the secret philosophy
tt0875612,2011,Documentary,7.1,7,rain falls from earth: surviving cambodia's darkest hour
tt0875613,2011,"Horror,Thriller",2.7,404,rift
tt0875702,2010,Documentary,8.6,14,bury the hatchet
tt0878654,2010,Thriller,5.8,875,bulletface
tt0878672,2010,Documentary,7.0,33,first circle
tt0878814,2012,"Comedy,Romance",4.5,1342,jewtopia
tt0878835,2010,"Comedy,Drama",6.6,10652,please give
tt0879405,2010,Thriller,5.3,250,harm's way
tt0879859,2010,Thriller,6.8,21,torn
tt0879870,2010,"Drama,Romance",5.8,77709,eat pray love
tt0880569,2011,Musical,5.0,282,mama i want to sing
tt0881320,2011,"Adventure,Drama,Thriller",5.9,51318,sanctum
tt0882741,2010,"Comedy,Musical,Romance",7.2,59,air: the musical
tt0882977,2013,"Action,Drama,Thriller",6.5,78142,snitch
tt0884214,2010,"Horror,Thriller",4.3,1045,wreckage
tt0884325,2011,Horror,7.0,46,drain baby
tt0884726,2013,"Adventure,Animation,Family",5.5,5351,legends of oz: dorothy's return
tt0884732,2015,Comedy,6.7,66893,the wedding ringer
tt0887143,2011,Horror,2.8,952,hyenas
tt0887161,2010,"Comedy,Drama",4.5,215,repo
tt0887266,2013,Documentary,8.3,13,rollerboy
tt0887751,2010,"Crime,Drama,Thriller",5.6,29,honor
tt0889573,2010,"Comedy,Drama,Romance",6.1,90661,the switch
tt0892062,2014,"Animation,Comedy,Fantasy",7.1,78,hamlet a.d.d.
tt0892077,2011,Fantasy,6.1,68,gun of the black sun
tt0892318,2010,"Adventure,Comedy,Drama",6.6,86137,letters to juliet
tt0892769,2010,"Action,Adventure,Animation",8.1,611299,how to train your dragon
tt0892791,2010,"Adventure,Animation,Comedy",6.3,167532,shrek forever after
tt0893310,2011,"Drama,Mystery,Thriller",7.0,33,blur
tt0893412,2011,"Comedy,Drama,Romance",5.6,13644,from prada to nada
tt0896872,2010,"Action,Biography,Crime",7.2,29826,the whistleblower
tt0899145,2010,Drama,5.4,302,don't fade away
tt0899154,2011,"Crime,Drama,Thriller",5.6,263,the key man
tt0900387,2014,"Drama,Romance,War",7.0,19978,suite française
tt0901504,2010,"Horror,Mystery,Thriller",4.5,2072,psych:9
tt0902247,2010,"Crime,Drama,Thriller",7.0,99,acts of violence
tt0903036,2010,"Action,Crime,Thriller",2.7,351,westbrick murders
tt0903624,2012,"Adventure,Family,Fantasy",7.9,719629,the hobbit: an unexpected journey
tt0903657,2014,"Biography,Drama,Music",7.4,32238,love & mercy
tt0905372,2011,"Horror,Mystery,Sci-Fi",6.2,111900,the thing
tt0906013,2012,"Crime,Thriller",2.8,281,the grind
tt0906327,2016,Comedy,7.1,15,the unlikely's
tt0906778,2011,"Biography,Drama",6.2,1941,black butterflies
tt0907305,2010,"Adventure,Drama,Horror",5.3,840,prey
tt0907731,2010,"Drama,Thriller",5.0,13,eager to die
tt0907852,2012,"Drama,Mystery,Thriller",6.6,44,exposed
tt0910885,2014,Comedy,5.1,5415,a merry friggin' christmas
tt0910926,2010,"Comedy,Romance",7.0,41,movin' in
tt0914823,2010,"Action,Thriller",4.0,82,house under siege
tt0914852,2010,Horror,6.8,11,monkeyman935
tt0914863,2010,"Crime,Drama,Thriller",7.1,80152,unthinkable
tt0915463,2010,"Animation,Comedy,Sci-Fi",5.3,1178,jackboots on whitehall
tt0918520,2016,"Drama,Thriller",7.5,11,gangster kittens
tt0918553,2011,Drama,7.5,24,periphery
tt0918575,2010,"Horror,Thriller",6.0,4113,victim
tt0918940,2016,"Action,Adventure,Drama",6.3,150154,the legend of tarzan
tt0920459,2010,"Comedy,Drama,Romance",6.7,2642,the happy housewife
tt0923653,2010,"Action,Horror,Sci-Fi",3.0,791,the dead undead
tt0923954,2010,"Drama,Mystery,Thriller",5.5,217,truth about kerry
tt0924266,2010,Comedy,8.3,36,pizza with bullets
tt0926084,2010,"Adventure,Fantasy,Mystery",7.7,425530,harry potter and the deathly hallows: part 1
tt0926132,2016,"Action,Adventure,Horror",6.7,369,road to red
tt0926170,2012,"Drama,Family",4.3,46,white men can't dance
tt0929618,2010,Comedy,3.7,1345,the penthouse
tt0929742,2011,Action,3.3,315,deep gold 3d
tt0932667,2016,Drama,5.6,116,the man in the silo
tt0933876,2018,"Horror,Mystery,Thriller",4.6,317,june 9
tt0934446,2010,"Drama,Sci-Fi",3.8,299,"glenn, the flying robot"
tt0934981,2010,"Action,Crime,Drama",6.4,221,the waiter
tt0935075,2010,Drama,7.0,45357,rabbit hole
