id,production_budget,domestic_gross,worldwide_gross,year,title_new
1,425000000,760507625,2776345279,2009,avatar
2,410600000,241063875,1045663875,2011,pirates of the caribbean: on stranger tides
3,350000000,42762350,149762350,2019,dark phoenix
4,330600000,459005868,1403013963,2015,avengers: age of ultron
5,317000000,620181382,1316721747,2017,star wars ep. viii: the last jedi
6,306000000,936662225,2053311220,2015,star wars ep. vii: the force awakens
7,300000000,678815482,2048134200,2018,avengers: infinity war
8,300000000,309420425,963420425,2007,pirates of the caribbean: at worldâs end
9,300000000,229024295,655945209,2017,justice league
10,300000000,200074175,879620923,2015,spectre
11,275000000,448139099,1084439099,2012,the dark knight rises
12,275000000,213767512,393151347,2018,solo: a star wars story
13,275000000,89302115,260002115,2013,the lone ranger
14,275000000,73058679,282778100,2012,john carter
15,260000000,200821936,586477240,2010,tangled
16,258000000,336530303,894860230,2007,spider-man 3
17,250000000,408084349,1140069413,2016,captain america: civil war
18,250000000,330360194,867500281,2016,batman v superman: dawn of justice
19,250000000,303003568,1017003568,2012,the hobbit: an unexpected journey
20,250000000,302089278,935213767,2009,harry potter and the half-blood prince
21,250000000,258366855,960366855,2013,the hobbit: the desolation of smaug
22,250000000,255119788,945577621,2014,the hobbit: the battle of the five armies
23,250000000,225764765,1234846267,2017,the fate of the furious
24,232000000,200120000,374085065,2006,superman returns
25,230000000,172558876,788241137,2017,pirates of the caribbean: dead men tell no tales
26,230000000,169368427,591692078,2008,quantum of solace
27,225000000,623279547,1517935897,2012,the avengers
28,225000000,423315812,1066215812,2006,pirates of the caribbean: dead manâs chest
29,225000000,291045518,667999518,2013,man of steel
30,225000000,141621490,417341288,2008,the chronicles of narnia: prince caspian
31,220000000,262030663,757890267,2012,the amazing spider-man
32,220000000,65233400,313477717,2012,battleship
33,217000000,130168683,602893340,2017,transformers: the last knight
34,215000000,652270625,1648854864,2015,jurassic world
35,215000000,179020854,654213485,2012,men in black 3
36,210000000,402111870,836519699,2009,transformers: revenge of the fallen
37,210000000,245439076,1104039076,2014,transformers: age of extinction
38,210000000,234362462,459260946,2006,x-men: the last stand
39,210000000,105487148,322459006,2010,robin hood
40,207000000,218080025,550517357,2005,king kong
41,205000000,70107728,367262558,2007,the golden compass
42,200000000,700059566,1348258224,2018,black panther
43,200000000,659363944,2208208395,1997,titanic
44,200000000,608581744,1242520711,2018,incredibles 2
45,200000000,532177324,1049102856,2016,rogue one: a star wars story
46,200000000,486295561,1021215193,2016,finding dory
47,200000000,415004880,1068879522,2010,toy story 3
48,200000000,408992272,1215392272,2013,iron man 3
49,200000000,389813101,862316233,2017,guardians of the galaxy vol 2
50,200000000,373524485,795110670,2004,spider-man 2
51,200000000,334191110,1025491110,2010,alice in wonderland
52,200000000,304360277,1110526981,2012,skyfall
53,200000000,268488329,743588329,2013,monsters university
54,200000000,234770996,490359051,2013,oz the great and powerful
55,200000000,233921534,747862775,2014,x-men: days of future past
56,200000000,202853933,708996336,2014,the amazing spider-man 2
57,200000000,191450875,560155383,2011,cars 2
58,200000000,172062763,400062763,2010,tron: legacy
59,200000000,166112167,757677748,2009,2012
60,200000000,159555901,652220086,2018,fantastic beasts: the crimes of grindelwald
61,200000000,125322469,365491792,2009,terminator salvation
62,200000000,116601172,219535492,2011,green lantern
63,200000000,90759676,336359676,2010,prince of persia: sands of time
64,195000000,352390543,1123790543,2011,transformers: dark of the moon
65,195000000,80101125,409953905,2017,the mummy
66,195000000,65187603,197687603,2013,jack the giant slayer
67,190000000,353007020,1518722794,2015,furious 7
68,190000000,228778661,467381584,2013,star trek into darkness
69,190000000,202359711,531514650,2013,world war z
70,190000000,144840419,351040419,2013,the great gatsby
71,190000000,137855863,315709697,2009,disneyâs a christmas carol
72,190000000,101802906,411002906,2013,pacific rim
73,187500000,123087120,333771037,2015,the good dinosaur
74,186000000,318604126,585171547,2008,iron man
75,185000000,533720947,1001996207,2008,the dark knight
76,185000000,317101119,786635413,2008,indiana jones and the kingdom of the crystal skull
77,185000000,237282182,554606532,2012,brave
78,185000000,168052812,561072059,2017,kong: skull island
79,185000000,158848340,335802233,2016,star trek beyond
80,185000000,92054159,259357408,2017,blade runner 2049
81,182000000,246734314,619234314,2019,aladdin
82,180000000,315058289,846980024,2017,thor: ragnarok
83,180000000,291710957,720539572,2005,"the chronicles of narnia: the lion, the witch and the wardrobe"
84,180000000,241407328,758536735,2014,maleficent
85,180000000,234037575,802402853,2016,fantastic beasts and where to find them
86,180000000,223808164,532508025,2008,wall-e
87,180000000,140125968,256585882,2007,rush hour 3
88,180000000,126643061,348902025,2016,the legend of tarzan
89,180000000,73864507,180047784,2011,hugo
90,180000000,40479370,215098356,2017,valerian and the city of a thousand planets
91,179000000,47482519,181982519,2015,jupiter ascending
92,178000000,220159104,787456552,2018,mission: impossibleâfallout
93,178000000,155442489,542537546,2016,x-men: apocalypse
94,178000000,145443742,529530715,2018,the meg
95,178000000,100206256,370541256,2014,edge of tomorrow
96,175000000,426525952,1123061550,2019,captain marvel
97,175000000,364001123,962854547,2016,the jungle book
98,175000000,356461711,854235992,2015,inside out
99,175000000,334201140,880166350,2017,spider-man: homecoming
100,175000000,325100054,746059887,2016,suicide squad
1,175000000,293004164,731463377,2009,up
2,175000000,209726015,798008101,2017,coco
3,175000000,201091711,524283695,2018,ralph breaks the internet
4,175000000,198351526,381687380,2009,monsters vs. aliens
5,175000000,152901115,383541369,2017,cars 3
6,175000000,150201498,302469017,2009,g.i. joe: the rise of cobra
7,175000000,113805681,221229335,1999,wild wild west
8,175000000,102491776,405760225,2008,the mummy: tomb of the dragon emperor
9,175000000,100289690,174131329,2007,evan almighty
10,175000000,88246220,264246220,1995,waterworld
11,175000000,39175066,139630336,2017,king arthur: legend of the sword
12,175000000,38362475,151716815,2013,47 ronin
13,170000000,417719760,1305772799,2018,jurassic world: fallen kingdom
14,170000000,333172112,770867516,2014,guardians of the galaxy
15,170000000,312433331,621156389,2010,iron man 2
16,170000000,259746958,714401889,2014,captain america: the winter soldier
17,170000000,208545589,710644566,2014,dawn of the planet of the apes
18,170000000,187224605,311365187,2004,the polar express
19,170000000,155136755,401021746,2012,snow white and the huntsman
20,170000000,150358296,433058296,2003,terminator 3: rise of the machines
21,170000000,120150546,300150546,2004,van helsing
22,170000000,113883318,345004422,2019,dumbo
23,170000000,93436322,206627518,2015,tomorrowland
24,170000000,85710210,402976036,2019,alita: battle angel
25,170000000,85576941,299276941,2019,godzilla: king of the monsters
26,170000000,77042381,276928112,2016,alice through the looking glass
27,165000000,238736787,756244673,2010,shrek forever after
28,165000000,232641920,676404566,2016,doctor strange
29,165000000,222527828,652127828,2014,big hero 6
30,165000000,217581232,494870992,2010,how to train your dragon
31,165000000,189412677,496511521,2012,wreck-it ralph
32,165000000,188017894,666379375,2014,interstellar
33,165000000,103144286,384169424,2016,independence day: resurgence
34,163000000,100368560,176038324,2011,cowboys and aliens
35,160000000,504014165,1259199706,2017,beauty and the beast
36,160000000,335061807,1146894640,2018,aquaman
37,160000000,322719944,807330936,2007,shrek the third
38,160000000,292576195,835524642,2010,inception
39,160000000,281723902,648986787,2015,the hunger games: mockingjay - part 2
40,160000000,238679850,789300444,2013,fast and furious 6
41,160000000,200676069,529076069,2014,godzilla
42,160000000,146408305,355408305,2011,x-men: first class
43,160000000,127509326,329631958,2008,the curious case of benjamin button
44,160000000,63150991,217986320,2010,the sorcerer's apprentice
45,160000000,60674817,181674817,2006,poseidon
46,160000000,47225655,425522281,2016,warcraft
47,156000000,61433527,122603824,2016,deepwater horizon
48,155000000,104386950,418186950,2010,the chronicles of narnia: the voyage of the dawn treader
49,155000000,89760956,432150894,2015,terminator: genisys
50,155000000,59874525,290930148,2018,pacific rim: uprising
51,155000000,34297191,167297191,2004,alexander
52,152000000,146880162,489592267,2017,war for the planet of the apes
53,151500000,198539855,449239855,2001,pearl harbor
54,151000000,319246193,708272592,2007,transformers
55,150000000,412563408,821133378,2017,wonder woman
56,150000000,400738009,1272469910,2013,frozen
57,150000000,341268248,1019429616,2016,zootopia
58,150000000,292137260,943076457,2007,harry potter and the order of the phoenix
59,150000000,290201752,897099794,2005,harry potter and the goblet of fire
60,150000000,281553689,738576929,2003,the matrix reloaded
61,150000000,256393010,585532684,2007,i am legend
62,150000000,248757044,637517365,2016,moana
63,150000000,227946274,624234272,2008,hancock
64,150000000,206459076,475825484,2005,charlie and the chocolate factory
65,150000000,206445654,626549695,2007,ratatouille
66,150000000,206362140,644602516,2013,thor: the dark world
67,150000000,205343774,359142722,2005,batman begins
68,150000000,195042377,688858992,2015,mission: impossibleârogue nation
69,150000000,190068280,499837368,2017,dunkirk
70,150000000,181030624,449326618,2011,thor
71,150000000,180174880,599680774,2008,madagascar: escape 2 africa
72,150000000,179883157,374825760,2009,x-men origins: wolverine
73,150000000,177243721,402231063,2009,night at the museum: battle of the smithsonian
74,150000000,165249063,664837547,2011,kung fu panda 2
75,150000000,153636354,370098020,2015,mad max: fury road
76,150000000,139507806,411258433,2019,pokã©mon: detective pikachu
77,150000000,139270910,427300260,2003,the matrix revolutions
78,150000000,137690172,579290136,2018,ready player one
79,150000000,135386665,310043823,2005,chicken little
80,150000000,133501348,397501348,2006,mission: impossible iii
81,150000000,133375846,490875846,2009,angels & demons
82,150000000,133298577,484161265,2004,troy
83,150000000,131772187,319713881,2010,the last airbender
84,150000000,126631277,287594577,2007,bee movie
85,150000000,119436770,292817841,2009,g-force
86,150000000,114053579,328015029,2008,bolt
87,150000000,83670083,305270083,2012,wrath of the titans
88,150000000,82280579,195080579,2007,beowulf
89,150000000,79727149,238202668,2012,dark shadows
90,150000000,73103784,205440387,2013,white house down
91,150000000,62189884,142634358,2010,the wolfman
92,150000000,45157105,334486852,2017,the great wall
93,150000000,35088320,151525973,2015,pan
94,150000000,21392758,39549758,2011,mars needs moms
95,150000000,0,0,2020,moonfall
96,149000000,64665672,179357126,2006,flushed away
97,145000000,216391482,746921271,2012,madagascar 3: europe's most wanted
98,145000000,209397903,694713230,2011,mission: impossibleâghost protocol
99,145000000,177002924,614586270,2014,how to train your dragon 2
100,145000000,171091819,448191819,1999,tarzan
1,145000000,111506430,269806430,2014,mr. peabody & sherman
2,145000000,103412758,306900902,2012,rise of the guardians
3,145000000,68671925,121671925,2005,sahara
4,144000000,128350574,229008658,2016,ghostbusters
5,142000000,160942139,431942139,2002,die another day
6,140000000,305411224,634954103,2003,pirates of the caribbean: the curse of the black pearl
7,140000000,257730019,386839614,2009,star trek
8,140000000,201578182,554600000,1998,armageddon
9,140000000,190418803,441767803,2002,men in black 2
10,140000000,176654505,370569776,2011,captain america: the first avenger
11,140000000,143528619,517599142,2016,kung fu panda 3
12,140000000,130444603,285400000,1998,lethal weapon 4
13,140000000,122523060,375740705,2013,g.i. joe: retaliation
14,140000000,111110575,456810575,2003,the last samurai
15,140000000,110550000,203018919,2005,fun with dick and jane
16,140000000,65014513,268314513,2014,exodus: gods and kings
17,140000000,55483770,199646680,2016,the bfg
18,140000000,31153464,138836756,2016,gods of egypt
19,139000000,403706375,821706375,2002,spider-man
20,138000000,107509799,186976250,2009,watchmen
21,138000000,32116746,76416746,2005,stealth
22,137500000,134806913,265573859,2008,the incredible hulk
23,137000000,132177234,245075434,2003,hulk
24,137000000,32131830,85131830,2001,final fantasy: the spirits within
25,136200000,292324737,829724737,2012,"the twilight saga: breaking dawn, part 2"
26,135000000,187168425,573068425,2013,the croods
27,135000000,183637894,532938302,2015,the revenant
28,135000000,126930660,361730660,1999,the world is not enough
29,135000000,123477607,245724600,2011,rango
30,135000000,93926386,212912137,2003,master and commander: the far side of the world
31,135000000,83028130,286896578,2013,turbo
32,135000000,82051601,245328374,2016,teenage mutant ninja turtles: out of the shadows
33,135000000,64006466,157956466,2011,happy feet two
34,135000000,63478838,163818556,2006,miami vice
35,132900000,54858851,170293899,2018,the nutcracker and the four realms
36,132000000,234280354,606836535,2005,war of the worlds
37,132000000,83350911,366942531,2014,penguins of madagascar
38,130000000,424668047,864868047,2013,the hunger games: catching fire
39,130000000,249757726,796907323,2004,harry potter and the prisoner of azkaban
40,130000000,227471070,444043396,2007,the bourne ultimatum
41,130000000,216648740,623144660,2018,ant-man and the wasp
42,130000000,215434591,631910531,2008,kung fu panda
43,130000000,180202163,518858449,2015,ant-man
44,130000000,177397510,385997896,2015,home
45,130000000,171958438,341528518,2018,mary poppins returns
46,130000000,149260504,554987477,2011,puss in boots
47,130000000,148415853,321887208,2010,megamind
48,130000000,138540870,273271982,2003,bad boys ii
49,130000000,131538435,492846291,2014,rio 2
50,130000000,118311368,290650494,2010,salt
51,130000000,101200044,352831065,2014,noah
52,130000000,77591831,373993951,2011,the adventures of tintin
53,130000000,60522097,251499665,2013,after earth
54,130000000,49554002,215080810,2008,australia
55,130000000,33618855,79076678,2013,r.i.p.d.
56,129000000,160791800,519258283,2019,how to train your dragon: the hidden world
57,127500000,281287133,689420051,2011,"the twilight saga: breaking dawn, part 1"
58,127500000,137748063,356148063,2000,dinosaur
59,127000000,226277068,615461394,2017,logan
60,127000000,113746621,353756621,2014,night at the museum: secret of the tomb
61,125000000,381193157,1341693157,2011,harry potter and the deathly hallows: part ii
62,125000000,337135885,766575131,2014,the hunger games: mockingjay - part 1
63,125000000,317871467,975047606,2001,harry potter and the sorcererâs stone
64,125000000,296131568,960431568,2010,harry potter and the deathly hallows: part i
65,125000000,217536138,767820459,2006,the da vinci code
66,125000000,214949694,406875536,2003,x-men 2
67,125000000,210031325,630163454,2011,fast five
68,125000000,191204754,485004754,2014,teenage mutant ninja turtles
69,125000000,186848418,535663443,2011,sherlock holmes: a game of shadows
70,125000000,186740799,556319450,2004,the day after tomorrow
71,125000000,175003033,510878762,2017,the boss baby
72,125000000,163214888,493214888,2010,clash of the titans
73,125000000,153707064,344150134,2016,trolls
74,125000000,136314294,376000000,1998,godzilla
75,125000000,126477084,402448265,2012,prometheus
76,125000000,113203870,280355920,2012,the bourne legacy
77,125000000,107325195,238317814,1997,batman & robin
78,125000000,68420120,304115534,2018,skyscraper
79,125000000,58877969,211856088,2012,total recall
80,125000000,54647948,240759682,2016,assassinâs creed
81,125000000,33370166,61642798,2017,monster trucks
82,125000000,32698899,61698899,1999,the 13th warrior
83,123000000,260044825,345141403,2000,how the grinch stole christmas
84,120000000,215409889,549588516,2000,mission: impossible 2
85,120000000,182618434,328711434,2000,the perfect storm
86,120000000,162192920,416168316,2016,jason bourne
87,120000000,131921738,289480691,2007,fantastic four: rise of the silver surfer
88,120000000,124987022,620912003,2012,life of pi
89,120000000,115802596,229545589,2007,ghost rider
90,120000000,101028233,428056280,2018,rampage
91,120000000,100814328,227200000,2003,charlie's angels: full throttle
92,120000000,93050117,286192091,2013,elysium
93,120000000,89107235,287916633,2013,oblivion
94,120000000,85364450,142531552,2017,power rangers
95,120000000,64956806,166000000,2002,stuart little 2
96,120000000,58607007,242981799,2014,robocop
97,120000000,57712751,107212751,2004,the chronicles of riddick
98,120000000,56117548,167849187,2015,fantastic four
99,120000000,43945766,93394462,2008,speed racer
100,120000000,35818913,163018913,2005,the island
1,120000000,30212620,49628177,2010,how do you know?
2,117000000,76423035,258751370,2010,knight and day
3,116000000,213511408,853628605,2018,venom
4,115000000,474544677,1027044677,1999,star wars ep. i: the phantom menace
5,115000000,380270577,848998877,2005,star wars ep. iii: revenge of the sith
6,115000000,310676740,656695615,2002,star wars ep. ii: attack of the clones
7,115000000,289423425,559757719,2001,"monsters, inc."
8,115000000,132556852,416456852,2013,the wolverine
9,115000000,67163857,178200000,1997,dante's peak
10,115000000,48003015,165149302,2016,the huntsman: winterâs war
11,115000000,40914068,77628265,2002,windtalkers
12,113500000,999811,132999811,2008,astã©rix aux jeux olympiques
13,112000000,42779261,232017848,2010,gulliver's travels
14,111000000,84410380,289847930,2017,ferdinand
15,110000000,324591735,786680557,2018,deadpool 2
16,110000000,274092705,693698673,2013,gravity
17,110000000,250863268,579446407,2006,night at the museum
18,110000000,186336279,486124090,2005,mr. and mrs. smith
19,110000000,155190832,456258539,2015,san andreas
20,110000000,142614158,563749323,2011,the smurfs
21,110000000,134529403,382288147,2007,live free or die hard
22,110000000,130179072,295075882,2015,the divergent series: insurgent
23,110000000,125531634,362989076,2004,ocean's twelve
24,110000000,125304276,339504276,1997,tomorrow never dies
25,110000000,113330342,215300000,2000,the patriot
26,110000000,106580051,330780051,2014,300: rise of an empire
27,110000000,102608827,208370892,2004,the aviator
28,110000000,100014699,302239672,2016,passengers
29,110000000,98780042,229155503,2011,the green hornet
30,110000000,87242834,295986876,2016,miss peregrineâs home for peculiar children
31,110000000,85463309,263880341,2011,real steel
32,110000000,77222099,177241171,2010,the a-team
33,110000000,71017784,348547523,2013,the smurfs 2
34,110000000,66184051,172022517,2016,the divergent series: allegiant
35,110000000,65452312,152364370,2009,the taking of pelham 123
36,110000000,61737191,127983283,2013,ender's game
37,110000000,50026353,76482461,2004,home on the range
38,110000000,48097081,150468000,1997,speed 2: cruise control
39,110000000,47398413,218853353,2005,kingdom of heaven
40,110000000,40563557,167910690,2017,ghost in the shell
41,110000000,24004159,72004159,2004,around the world in 80 days
42,110000000,3100000,3100000,2019,men in black: international
43,109000000,315544750,887210985,2001,the lord of the rings: the fellowship of the ring
44,109000000,101018283,133818283,2003,the cat in the hat
45,109000000,58183966,87683966,2001,ali
46,108000000,228433663,655271443,2015,the martian
47,106000000,40098064,119266661,2016,allied
48,105000000,144801023,348629585,2004,"i, robot"
49,105000000,140015224,298815224,1999,stuart little
50,105000000,104400899,270997378,2009,the princess and the frog
51,105000000,94784201,269065678,2008,"10,000 b.c."
52,105000000,64063008,402156682,2016,ice age: collision course
53,105000000,6712451,10364769,2001,town & country
54,104000000,100234838,408803696,2017,kingsman: the golden circle
55,103300000,101643008,232643008,2000,gone in 60 seconds
56,103000000,187683805,457683805,2000,gladiator
57,103000000,112200072,362000072,2013,the hangover 3
58,103000000,100478608,133401882,2018,a wrinkle in time
59,102500000,97104620,212282709,2009,public enemies
60,102000000,167365000,594420283,2006,casino royale
61,102000000,132024714,358824714,2002,minority report
62,102000000,127195589,465195589,2018,bumblebee
63,102000000,27108272,130673154,2012,cloud atlas
64,100000000,262233381,879225135,2002,harry potter and the chamber of secrets
65,100000000,203464105,515419827,1991,terminator 2: judgment day
66,100000000,184031112,336529144,1995,batman forever
67,100000000,180011740,362211740,2001,planet of the apes
68,100000000,173005002,331323410,2004,national treasure
69,100000000,162805434,449948323,2012,django unchained
70,100000000,148438600,310650574,2010,little fockers
71,100000000,146282411,365300000,1994,true lies
72,100000000,130164645,267985456,2007,american gangster
73,100000000,124870275,236827677,2009,cloudy with a chance of meatballs
74,100000000,119219978,170936470,2010,the other guys
75,100000000,118627117,212956024,2004,lemony snicket's a series of unfortunate events
76,100000000,116900694,389870414,2013,the wolf of wall street
77,100000000,107518682,262794441,2013,epic
78,100000000,101295562,234400000,1996,eraser
79,100000000,100138851,325500000,1996,the hunchback of notre dame
80,100000000,89296573,169296573,2000,the emperor's new groove
81,100000000,85028192,311979256,2012,the expendables 2
82,100000000,77233467,99123656,2009,where the wild things are
83,100000000,75030163,249488115,2006,eragon
84,100000000,72688614,243388614,2014,hercules
85,100000000,67631157,278731369,2010,the tourist
86,100000000,66889043,212026975,1999,end of days
87,100000000,59475623,96221971,2004,the stepford wives
88,100000000,58867694,145395745,2007,surf's up
89,100000000,57377916,171377916,2006,blood diamond
90,100000000,55675313,139716717,2010,legend of the guardians: the owls of ga'hoole
91,100000000,54768952,121100000,1997,starship troopers
92,100000000,49438370,69548641,2009,land of the lost
93,100000000,48417850,95255485,2003,peter pan
94,100000000,45216793,115149422,2019,wonder park
95,100000000,40202379,82145379,2004,catwoman
96,100000000,39322544,209461378,2014,the expendables 3
97,100000000,38120554,91800000,2002,treasure planet
98,100000000,35497337,97523020,2010,green zone
99,100000000,33700160,220796009,2017,geostorm
100,100000000,28782481,126704591,2015,point break
1,100000000,25020758,89693309,2015,in the heart of the sea
2,100000000,23022309,103039258,2014,transcendence
3,100000000,17018422,59918422,2005,son of the mask
4,100000000,15951040,85287417,2018,mortal engines
5,100000000,4411102,7094995,2002,the adventures of pluto nash
6,100000000,311434,98227017,2012,jin lã­ng shã­ san chai
7,99000000,130178411,250091610,2015,the peanuts movie
8,99000000,105806508,190325698,2019,the lego movie 2: the second part
9,99000000,30824628,84747441,2018,robin hood
10,98000000,202007640,435040395,2001,the mummy returns
11,97000000,77730500,183124621,2002,gangs of new york
12,97000000,74262031,238521247,2017,alien: covenant
13,95000000,201151353,534551353,2015,cinderella
14,95000000,161321843,879765137,2012,ice age: continental drift
15,95000000,108638745,159691085,2001,black hawk down
16,95000000,95347692,294680778,2010,sex and the city 2
17,95000000,88768303,223050874,2010,percy jackson & the olympians: the lightning thief
18,95000000,86907746,104907746,2012,the campaign
19,95000000,81562942,165720921,2010,unstoppable
20,95000000,63570862,263898761,1997,the fifth element
21,95000000,50802661,65700000,2000,the road to el dorado
22,95000000,44114232,94894448,2009,the lovely bones
23,95000000,26410477,91669648,2016,ben-hur
24,95000000,17725785,108874967,2015,seventh son
25,94000000,380529370,936429370,2003,finding nemo
26,94000000,377845905,1141403341,2003,the lord of the rings: the return of the king
27,94000000,342548984,934699645,2002,the lord of the rings: the two towers
28,94000000,131144183,273330185,2001,lara croft: tomb raider
29,94000000,128261724,404561724,2015,kingsman: the secret service
30,93000000,181166115,365900000,2001,jurassic park iii
31,93000000,176760185,470986200,2011,rise of the planet of the apes
32,92500000,71195053,162839667,2008,the spiderwick chronicles
33,92000000,261441092,614726752,2004,the incredibles
34,92000000,67349198,304249198,2013,a good day to die hard
35,92000000,22406362,23911362,2004,the alamo
36,92000000,10017322,18517322,1995,cutthroat island
37,91000000,58236838,187861183,2013,the secret life of walter mitty
38,90000000,404508916,964496193,2017,jumanji: welcome to the jungle
39,90000000,250690539,587790539,1997,men in black
40,90000000,245852179,511358276,1999,toy story 2
41,90000000,226164286,347425832,2001,rush hour 2
42,90000000,209028679,498438212,2009,sherlock holmes
43,90000000,196573705,859701857,2009,ice age: dawn of the dinosaurs
44,90000000,190173195,375381768,2018,spider-man: into the spider-verse 3d
45,90000000,155464351,288693989,2000,what lies beneath
46,90000000,143619809,487519809,2011,rio
47,90000000,132384315,289660619,2006,the departed
48,90000000,125305545,259736090,2000,charlie's angels
49,90000000,120620254,303500000,1998,mulan
50,90000000,110515313,191145256,2008,tropic thunder
51,90000000,102515793,239373970,2011,the girl with the dragon tattoo
52,90000000,100920329,165900000,1997,contact
53,90000000,100018837,202910991,2008,you don't mess with the zohan
54,90000000,100012499,366101666,1995,die hard: with a vengeance
55,90000000,93432655,162525156,2016,the magnificent seven
56,90000000,85886987,249517956,2015,alvin and the chipmunks: the road chip
57,90000000,84052762,186049020,2001,atlantis: the lost empire
58,90000000,83107829,203932174,2008,valkyrie
59,90000000,78765986,244041804,2015,pixels
60,90000000,78616689,235900000,2001,artificial intelligence: ai
61,90000000,75817994,155750628,2003,the haunted mansion
62,90000000,73209340,191200000,2000,hollow man
63,90000000,72708161,162753837,2005,the interpreter
64,90000000,68559554,200859554,2013,percy jackson: sea of monsters
65,90000000,65653758,157092943,2003,lara croft: tomb raider: the cradle of life
66,90000000,65075540,328325007,2016,now you see me 2
67,90000000,62362560,143049560,2001,spy game
68,90000000,61363304,169400000,1997,the saint
69,90000000,60874615,106000000,2000,mission to mars
70,90000000,58250803,273477501,2018,tomb raider
71,90000000,58220776,87420776,1999,bicentennial man
72,90000000,51877963,203877963,2004,king arthur
73,90000000,47546796,120100000,1997,volcano
74,90000000,42885593,140900000,1997,the devil's own
75,90000000,35168966,65716126,2002,k-19: the widowmaker
76,90000000,21295021,63356133,2011,conan the barbarian
77,90000000,20377913,139877913,2011,the three musketeers
78,90000000,8224288,10551417,2017,the promise
79,90000000,195459,20466016,2010,the nutcracker in 3d
80,90000000,0,0,2017,bright
81,90000000,0,0,2019,army of the dead
82,88000000,241688385,495700000,1996,twister
83,88000000,61649911,105021488,2005,cinderella man
84,88000000,51024708,159487563,2018,the predator
85,87500000,154696080,333132750,2005,fantastic four
86,87000000,165092266,350100280,2001,hannibal
87,86000000,120277854,148715342,2003,seabiscuit
88,85000000,233632142,427230516,2000,cast away
89,85000000,198000317,385000317,2006,happy feet
90,85000000,183417150,450728529,2001,ocean's eleven
91,85000000,176087450,311001124,2004,the bourne supremacy
92,85000000,172956409,315268353,1997,air force one
93,85000000,155064265,363064265,2009,fast & furious
94,85000000,154529439,299477886,2008,horton hears a who
95,85000000,150947895,276014965,2014,divergent
96,85000000,148313048,378505812,2012,hotel transylvania
97,85000000,139606856,362899733,2019,shazam!
98,85000000,127706877,340384141,2007,enchanted
99,85000000,126181630,208542162,2012,safe house
100,85000000,119725280,185708462,2007,i now pronounce you chuck and larry
1,85000000,117144465,311744465,2007,ocean's thirteen
2,85000000,112735375,224614744,2009,itâs complicated
3,85000000,111549836,250649836,1998,enemy of the state
4,85000000,85105259,191932158,2006,open season
5,85000000,78046570,150422946,2011,tower heist
6,85000000,66941559,66941559,2000,102 dalmatians
7,85000000,64935167,173613482,2012,mirror mirror
8,85000000,63280000,205190324,2006,the holiday
9,85000000,62615510,157794205,2006,the fast and the furious: tokyo drift
10,85000000,57010853,161510853,2005,memoirs of a geisha
11,85000000,51396781,96971293,2001,enemy at the gates
12,85000000,50016394,137298489,1993,last action hero
13,85000000,47641743,80831893,2003,the rundown
14,85000000,46462469,149717124,2011,arthur christmas
15,85000000,44898413,345033359,2017,xxx: return of xander cage
16,85000000,44650003,44650003,1998,meet joe black
17,85000000,43585753,113026383,2010,cats & dogs: the revenge of kitty galore
18,85000000,40048332,78353508,2002,collateral damage
19,85000000,37948765,78948765,2002,showtime
20,85000000,34687912,113487912,1995,judge dredd
21,85000000,33080084,83080084,2007,zodiac
22,85000000,31611316,48056764,2010,scott pilgrim vs. the world
23,85000000,31111260,74132631,2003,the core
24,85000000,28681080,35681080,1997,father's day
25,84000000,174340174,386665550,2017,the greatest showman
26,84000000,153294164,276294164,2002,scooby-doo
27,84000000,123307945,166307945,2000,nutty professor ii: the klumps
28,84000000,53262560,141507355,2013,red 2
29,82500000,137355633,237685089,2006,click
30,82500000,82985708,143985708,2006,charlotte's web
31,82500000,80172128,222640812,2008,jumper
32,82500000,75986503,160388063,2008,hellboy ii: the golden army
33,82000000,158119460,191558505,2005,the longest yard
34,82000000,103068524,268268174,2010,the expendables
35,82000000,34543701,96024898,2000,the 6th day
36,82000000,0,0,2020,call of the wild
37,81000000,242704995,484468608,2003,bruce almighty
38,80000000,408010692,677923379,2012,the hunger games
39,80000000,254464305,586464305,2011,the hangover part ii
40,80000000,180981886,457697994,1996,mission: impossible
41,80000000,175750384,310660018,2017,the lego batman movie
42,80000000,169700110,469500298,2015,hotel transylvania 2
43,80000000,162833635,266824291,1992,batman returns
44,80000000,155385488,416385488,1999,the mummy
45,80000000,155019340,343397247,2006,over the hedge
46,80000000,145771527,245800000,2002,lilo & stitch
47,80000000,140464664,349464664,1998,deep impact
48,80000000,133668525,247023808,2013,grown ups 2
49,80000000,133107389,349088523,2011,alvin and the chipmunks: chipwrecked
50,80000000,130319208,226739416,2008,get smart
51,80000000,128200012,260700012,2005,robots
52,80000000,128012934,299461782,2010,shutter island
53,80000000,124685242,266685242,2003,something's gotta give
54,80000000,120146040,168311558,2008,four christmases
55,80000000,112276146,241200000,1997,face/off
56,80000000,110101975,221468935,2008,bedtime stories
57,80000000,104054514,183354514,2002,road to perdition
58,80000000,103028109,214974953,2011,just go with it
59,80000000,102543518,182782518,2003,daredevil
60,80000000,101440743,180585259,2008,eagle eye
61,80000000,101117573,224117573,1997,con air
62,80000000,100246011,204774690,2010,yogi bear
63,80000000,95632614,165173909,2003,cold mountain
