title,year,studio,production_budget,foreign_gross,domestic_gross,worldwide_gross,genres,rating,votes
that awkward moment,2014,Focus,8000000,14400000.0,26068955,53068955,"Comedy,Romance",6.2,92148
the gambler,2014,Par.,25000000,5600000.0,33680992,38718031,"Crime,Drama,Thriller",6.0,59995
million dollar arm,2014,BV,25000000,2800000.0,36447959,39217912,"Biography,Drama,Sport",7.0,41008
nightcrawler,2014,ORF,8500000,6300000.0,32381218,50334418,"Crime,Drama,Thriller",7.9,404476
devil's due,2014,Fox,7000000,21100000.0,15821461,36146087,"Horror,Mystery,Thriller",4.1,15502
a most wanted man,2014,RAtt.,15000000,19000000.0,17237855,36068890,"Crime,Drama,Thriller",6.8,67914
the best of me,2014,Rela.,26000000,9200000.0,26766213,41059418,"Drama,Romance",6.7,59750
get on up,2014,Uni.,30000000,2700000.0,30569935,33339868,"Biography,Drama,Music",6.9,19024
the november man,2014,Rela.,15000000,7500000.0,25018119,34820335,"Action,Crime,Thriller",6.3,59293
when the game stands tall,2014,TriS,15000000,0.0,30127963,30138912,"Drama,Family,Sport",6.7,14498
draft day,2014,LG/S,25000000,620000.0,28842237,29847480,"Drama,Sport",6.8,48812
big eyes,2014,Wein.,10000000,14800000.0,14482031,27317872,"Biography,Crime,Drama",7.0,77447
big eyes,2014,Wein.,10000000,14800000.0,14482031,27317872,Documentary,7.2,43
top five,2014,Par.,12000000,800000.0,25317379,26001741,"Comedy,Romance",6.4,24744
and so it goes,2014,CE,18000000,10200000.0,15160801,17920013,"Comedy,Drama,Romance",5.8,11597
a haunted house 2,2014,ORF,4000000,6600000.0,17329487,21206861,"Comedy,Fantasy",4.7,18085
mr. turner,2014,SPC,14000000,18200000.0,3958546,25187026,"Biography,Drama,History",6.8,22661
the drop,2014,FoxS,12600000,7900000.0,10724389,19054534,"Crime,Drama",7.1,132161
addicted,2014,LGF,5000000,0.0,17390770,17499242,"Drama,Thriller",5.2,7640
before i go to sleep,2014,CE,22000000,12200000.0,3242457,19563579,"Drama,Horror,Mystery",6.3,64684
inherent vice,2014,WB,20000000,6600000.0,8110975,14772346,"Comedy,Crime,Drama",6.7,83346
a most violent year,2014,A24,20000000,6300000.0,5749134,8846875,"Crime,Drama,Thriller",7.0,60165
the babadook,2014,IFC,2000000,9300000.0,950792,7482387,"Drama,Horror",6.8,171411
wish i was here,2014,Focus,6000000,1900000.0,3591299,6591365,"Comedy,Drama",6.7,34907
the skeleton twins,2014,RAtt.,1000000,0.0,5284309,5797192,"Comedy,Drama,Romance",6.8,36793
dear white people,2014,RAtt.,1250000,0.0,4404154,5403771,"Comedy,Drama,Romance",6.1,23321
veronica mars,2014,WB,6000000,195000.0,3322127,3485383,"Crime,Drama,Mystery",6.8,46751
the rover,2014,A24,8500000,2100000.0,1109199,3180252,"Action,Crime,Drama",6.4,40576
rosewater,2014,ORF,10000000,0.0,3128941,3185717,"Biography,Drama",6.6,9836
obvious child,2014,A24,1000000,0.0,3122616,3324070,"Comedy,Drama,Romance",6.8,21536
kill the messenger,2014,Focus,5000000,0.0,2450846,6656705,"Biography,Crime,Drama",7.0,41231
the homesman,2014,Saban,16000000,0.0,2429989,8217571,"Drama,Western",6.6,27724
tusk,2014,A24,3000000,0.0,1821983,1887554,"Comedy,Drama,Horror",5.3,40827
i origins,2014,FoxS,1000000,0.0,336472,852399,"Drama,Romance,Sci-Fi",7.4,104718
rudderless,2014,Gold.,5000000,0.0,56001,567219,"Comedy,Drama,Music",7.5,16303
two night stand,2014,EOne,1600000,0.0,15600,868081,"Comedy,Romance",6.4,60510
13 sins,2014,RTWC,4000000,0.0,9134,47552,"Horror,Thriller",6.3,29550
camp x-ray,2014,IFC,1000000,0.0,9837,101053,"Drama,War",6.9,36700
wolves,2014,KE,18000000,0.0,0,94953,"Action,Fantasy,Horror",5.3,7312
falcon rising,2014,Free,4500000,0.0,11774,11774,"Action,Adventure",5.8,6955
jurassic world,2015,Uni.,215000000,0.0,652270625,1648854864,"Action,Adventure,Sci-Fi",7.0,539338
furious 7,2015,Uni.,190000000,0.0,353007020,1518722794,"Action,Crime,Thriller",7.2,335074
avengers: age of ultron,2015,BV,330600000,946400000.0,459005868,1403013963,"Action,Adventure,Sci-Fi",7.3,665594
minions,2015,Uni.,74000000,823400000.0,336045770,1160336173,"Adventure,Animation,Comedy",6.4,193917
spectre,2015,Sony,300000000,680600000.0,200074175,879620923,"Action,Adventure,Thriller",6.8,352504
inside out,2015,BV,175000000,501100000.0,356461711,854235992,"Adventure,Animation,Comedy",8.2,536181
the hunger games: mockingjay - part 2,2015,LGF,160000000,371700000.0,281723902,648986787,"Action,Adventure,Sci-Fi",6.6,252384
the martian,2015,Fox,108000000,401700000.0,228433663,655271443,"Adventure,Drama,Sci-Fi",8.0,680116
fifty shades of grey,2015,Uni.,40000000,404800000.0,166167230,570998101,"Drama,Romance,Thriller",4.1,279126
the revenant,2015,Fox,135000000,349300000.0,183637894,532938302,"Action,Adventure,Biography",8.0,621193
ant-man,2015,BV,130000000,339100000.0,180202163,518858449,"Action,Adventure,Comedy",7.3,501213
hotel transylvania 2,2015,Sony,80000000,305100000.0,169700110,469500298,"Animation,Comedy,Family",6.7,92905
san andreas,2015,WB (NL),110000000,318800000.0,155190832,456258539,"Action,Adventure,Drama",6.1,192750
mad max: fury road,2015,WB,150000000,224800000.0,153636354,370098020,"Action,Adventure,Sci-Fi",8.1,780910
the good dinosaur,2015,BV,187500000,209100000.0,123087120,333771037,"Adventure,Animation,Comedy",6.7,91465
the spongebob movie: sponge out of water,2015,Par.,74000000,162200000.0,162994032,311013181,"Adventure,Animation,Comedy",6.0,43560
maze runner: the scorch trials,2015,Fox,61000000,230600000.0,81697192,310566162,"Action,Sci-Fi,Thriller",6.3,201143
pitch perfect 2,2015,Uni.,29000000,103200000.0,184296230,287625468,"Comedy,Music",6.4,130692
the peanuts movie,2015,Fox,99000000,116100000.0,130178411,250091610,"Adventure,Animation,Comedy",7.1,39149
pixels,2015,Sony,90000000,166100000.0,78765986,244041804,"Action,Comedy,Sci-Fi",5.6,119789
alvin and the chipmunks: the road chip,2015,Fox,90000000,148900000.0,85886987,249517956,"Adventure,Animation,Comedy",5.1,14507
ted 2,2015,Uni.,68000000,135200000.0,81476385,217214143,Comedy,6.3,165843
tomorrowland,2015,BV,170000000,115700000.0,93436322,206627518,"Action,Adventure,Family",6.4,161343
straight outta compton,2015,Uni.,28000000,40400000.0,161197785,202182981,"Biography,Drama,History",7.9,165307
the intern,2015,WB,40000000,118800000.0,75764672,197115710,"Comedy,Drama",7.1,191494
jupiter ascending,2015,WB,179000000,136600000.0,47482519,181982519,"Action,Adventure,Sci-Fi",5.3,166327
creed,2015,WB (NL),37000000,63800000.0,109767581,173567581,"Drama,Sport",7.6,224671
fantastic four,2015,Fox,120000000,111900000.0,56117548,167849187,"Action,Adventure,Drama",4.3,140148
bridge of spies,2015,BV,40000000,93200000.0,72313754,162498338,"Drama,History,Thriller",7.6,263004
the hateful eight,2015,Wein.,62000000,101600000.0,54117416,147864886,"Crime,Drama,Mystery",7.8,434966
goosebumps,2015,Sony,58000000,70100000.0,80069458,158905324,"Adventure,Comedy,Family",6.3,72858
the last witch hunter,2015,LG/S,80000000,119600000.0,27367660,130818912,"Action,Adventure,Fantasy",6.0,86118
trainwreck,2015,Uni.,35000000,30600000.0,110212700,141123897,"Comedy,Drama,Romance",6.2,121860
the big short,2015,Par.,28000000,63200000.0,70259870,133162752,"Biography,Comedy,Drama",7.8,309227
pan,2015,WB,150000000,93300000.0,35088320,151525973,"Adventure,Comedy,Family",5.8,55867
magic mike xxl,2015,WB,14500000,56500000.0,66013057,123660597,"Comedy,Drama,Music",5.6,48497
get hard,2015,WB,40000000,21400000.0,90411453,106511453,"Comedy,Crime",6.0,111187
the man from u.n.c.l.e.,2015,WB,75000000,64400000.0,45445109,104949584,"Action,Adventure,Comedy",7.3,240606
paul blart: mall cop 2,2015,Sony,38000000,36600000.0,71091594,107650646,"Action,Comedy,Crime",4.4,30828
sisters,2015,Uni.,30000000,18000000.0,87044645,106030660,Comedy,6.0,58994
vacation,2015,WB (NL),31000000,46000000.0,58884188,102306500,"Adventure,Comedy",6.1,87582
chappie,2015,Sony,49000000,70500000.0,31569268,105002056,"Action,Crime,Drama",6.8,213733
joy,2015,Fox,60000000,44700000.0,56451232,101134059,Drama,6.6,118086
black mass,2015,WB,53000000,37200000.0,62575678,98837872,"Biography,Crime,Drama",6.9,155847
the visit,2015,Uni.,5000000,33200000.0,65206105,98677816,"Horror,Mystery,Thriller",6.2,102459
spotlight,2015,ORF,20000000,53200000.0,45055776,92088460,"Crime,Drama",8.1,365110
spotlight,2015,ORF,20000000,53200000.0,45055776,92088460,Drama,8.0,12
in the heart of the sea,2015,WB,100000000,68900000.0,25020758,89693309,"Action,Adventure,Biography",6.9,108628
southpaw,2015,Wein.,30000000,39500000.0,52421953,94156456,"Drama,Sport",7.4,199783
the second best exotic marigold hotel,2015,FoxS,10000000,52900000.0,33078266,90384306,"Comedy,Drama",6.6,28931
paper towns,2015,Fox,12000000,53500000.0,32000304,85450484,"Comedy,Drama,Mystery",6.3,87742
sicario,2015,LGF,30000000,38000000.0,46889293,84393749,"Action,Crime,Drama",7.6,328548
hitman: agent 47,2015,Fox,35000000,59900000.0,22467450,82182803,"Action,Adventure,Crime",5.7,80510
the wedding ringer,2015,SGem,23000000,15300000.0,64460211,80171596,Comedy,6.7,66893
paranormal activity: the ghost dimension,2015,Par.,10000000,60600000.0,18297124,77959374,"Horror,Mystery,Thriller",4.6,22361
crimson peak,2015,Uni.,55000000,43600000.0,31090320,74966854,"Drama,Fantasy,Horror",6.5,119287
the transporter refueled,2015,EC,22000000,56600000.0,16029670,69698495,"Action,Adventure,Crime",5.2,36201
run all night,2015,WB,50000000,45200000.0,26461644,66961644,"Action,Drama,Thriller",6.6,94131
war room,2015,TriS,3000000,0.0,67790117,73975239,Drama,6.5,11716
the age of adaline,2015,LGF,30000000,23000000.0,42629776,68984536,"Drama,Fantasy,Romance",7.2,138924
the longest ride,2015,Fox,34000000,25500000.0,37446117,63802928,"Drama,Romance",7.1,70327
brooklyn,2015,FoxS,11000000,23800000.0,38322743,62076141,"Drama,Romance",7.5,117021
woman in gold,2015,Wein.,11000000,28300000.0,33307793,58586407,"Biography,Drama,History",7.3,48501
krampus,2015,Uni.,15000000,18800000.0,42725475,61788393,"Comedy,Fantasy,Horror",6.2,55400
the walk,2015,TriS,35000000,51000000.0,10161183,61492104,"Crime,Thriller",6.8,126
the walk,2015,TriS,35000000,51000000.0,10161183,61492104,"Adventure,Biography,Drama",7.3,109714
the perfect guy,2015,SGem,18000000,3200000.0,57027435,60278166,"Crime,Drama,Horror",5.6,8998
no escape,2015,Wein.,5000000,27100000.0,27288872,42844516,"Action,Thriller",6.8,70222
sinister 2,2015,Focus,10000000,25100000.0,27740955,54104225,"Horror,Mystery,Thriller",5.3,41782
the boy next door,2015,Uni.,4000000,17000000.0,36006065,53401938,"Horror,Thriller",4.7,34816
the night before,2015,Sony,25000000,9300000.0,43035725,52427346,"Adventure,Comedy,Fantasy",6.4,58455
hot pursuit,2015,WB (NL),35000000,17100000.0,34580201,45671512,"Action,Comedy,Crime",5.1,44723
entourage,2015,WB,30000000,16900000.0,32363404,46438538,Comedy,6.6,71519
mortdecai,2015,LGF,60000000,39600000.0,7696134,30396134,"Action,Comedy,Crime",5.5,61366
"mcfarland, usa",2015,BV,17000000,1200000.0,44480275,45707924,"Biography,Drama,Sport",7.4,31735
the duff,2015,LGF,8500000,9500000.0,34030343,43528634,"Comedy,Romance",6.5,74486
legend,2015,Uni.,25000000,41100000.0,1872994,42425450,"Biography,Crime,Drama",7.0,138947
the gallows,2015,WB (NL),100000,20200000.0,22764410,41656474,"Horror,Mystery,Thriller",4.2,17763
love the coopers,2015,LGF,18000000,16100000.0,26302731,42227490,"Comedy,Fantasy,Romance",5.8,18018
ricki and the flash,2015,TriS,18000000,14500000.0,26839498,41166033,"Comedy,Drama,Music",5.9,20932
carol,2015,Wein.,11800000,27600000.0,12711491,42843521,"Drama,Romance",7.2,100680
the lazarus effect,2015,Rela.,5000000,12600000.0,25801570,38359310,"Horror,Mystery,Sci-Fi",5.2,37675
a walk in the woods,2015,BG,8000000,8000000.0,29499394,37119358,"Adventure,Biography,Comedy",6.3,22033
burnt,2015,Wein.,20000000,23000000.0,13651946,36773510,"Comedy,Drama",6.6,95988
room,2015,A24,13000000,20700000.0,14677674,36262783,"Drama,Thriller",8.2,316791
steve jobs,2015,Uni.,30000000,16700000.0,17766658,35579007,"Biography,Drama",7.2,138668
victor frankenstein,2015,Fox,40000000,28500000.0,5775076,31124367,"Drama,Horror,Sci-Fi",6.0,47492
project almanac,2015,Par.,12000000,10900000.0,22348241,32909437,"Drama,Mystery,Sci-Fi",6.4,71500
self/less,2015,Focus,26000000,18200000.0,12279691,33667319,"Action,Mystery,Sci-Fi",6.5,80743
american ultra,2015,LGF,28000000,12700000.0,14439985,30295028,"Action,Comedy,Sci-Fi",6.1,76769
aloha,2015,Sony,37000000,5200000.0,21052030,25387091,"Comedy,Drama,Romance",5.4,54646
the 33,2015,WB,25000000,12700000.0,12227722,28400715,"Biography,Drama,History",6.9,32263
the gunman,2015,ORF,40000000,13500000.0,10664749,18594227,"Action,Crime,Drama",5.8,36053
blackhat,2015,Uni.,70000000,11600000.0,8005980,19665004,"Action,Crime,Thriller",5.4,48427
dope,2015,ORF,7000000,480000.0,17506470,18190831,"Comedy,Crime,Drama",7.2,76557
scouts guide to the zombie apocalypse,2015,Par.,15000000,12400000.0,3703046,15554855,"Action,Comedy,Horror",6.3,40479
suffragette,2015,Focus,14000000,11300000.0,4702420,34044909,"Biography,Drama,History",6.9,34306
unfinished business,2015,Fox,35000000,4200000.0,10219501,13214051,"Comedy,Drama",5.4,29004
do you believe?,2015,PFR,2300000,1400000.0,12985600,14304931,Drama,6.1,6462
woodlawn,2015,PFR,13000000,0.0,14394097,14403703,"Drama,Sport",6.5,6070
hot tub time machine 2,2015,Par.,14000000,767000.0,12314651,12826644,"Comedy,Mystery,Sci-Fi",5.1,34444
child 44,2015,LG/S,50000000,11700000.0,1224330,8004221,"Crime,Drama,History",6.5,59477
we are your friends,2015,WB,2000000,7500000.0,3591417,10153415,"Drama,Music,Romance",6.2,32327
danny collins,2015,BST,10000000,5200000.0,5637066,8465845,"Biography,Comedy,Drama",7.0,27435
me and earl and the dying girl,2015,FoxS,8000000,2300000.0,6758416,9266180,"Comedy,Drama,Romance",7.8,112627
bajrangi bhaijaan,2015,Eros,13000000,0.0,8178001,121778347,"Action,Comedy,Drama",8.0,63747
baahubali: the beginning,2015,BSC,40000000,0.0,6738000,26736665,"Action,Drama",8.1,93243
little boy,2015,ORF,20000000,0.0,6485961,17769299,"Drama,History,War",7.4,20945
anomalisa,2015,Par.,8000000,1900000.0,3759286,5706168,"Animation,Comedy,Drama",7.3,58010
by the sea,2015,Uni.,20000000,2800000.0,538460,3727746,"Drama,Romance",5.3,16206
rock the kasbah,2015,ORF,15000000,0.0,3020665,3386153,"Comedy,Music,War",5.5,9587
youth,2015,FoxS,13000000,0.0,2703296,24001573,"Comedy,Drama,Music",7.3,64418
jem and the holograms,2015,Uni.,5000000,149000.0,2184640,2368937,"Adventure,Drama,Family",4.1,6683
the vatican tapes,2015,LGF,13000000,0.0,1784763,14929184,"Horror,Thriller",5.0,14822
the diary of a teenage girl,2015,SPC,2000000,0.0,1477002,2279959,"Comedy,Drama,Romance",6.9,27003
mustang,2015,Cohen,1400000,0.0,845464,5552584,Drama,7.6,30899
the d train,2015,IFC,3000000,102000.0,669688,772366,"Comedy,Drama",5.0,10066
freeheld,2015,LGF,7000000,0.0,546201,1732228,"Biography,Drama,Romance",6.5,10534
maggie,2015,RAtt.,4500000,0.0,187112,1027760,"Drama,Horror",5.6,38671
knock knock,2015,LGP,2000000,0.0,36336,6328516,"Drama,Thriller",4.9,68328
strangerland,2015,Alc,10000000,0.0,17472,161097,"Drama,Mystery,Thriller",5.2,7999
captain america: civil war,2016,BV,250000000,745200000.0,408084349,1140069413,"Action,Adventure,Sci-Fi",7.8,583507
rogue one: a star wars story,2016,BV,200000000,523900000.0,532177324,1049102856,"Action,Adventure,Sci-Fi",7.8,478592
finding dory,2016,BV,200000000,542300000.0,486295561,1021215193,"Adventure,Animation,Comedy",7.3,213542
zootopia,2016,BV,150000000,682500000.0,341268248,1019429616,"Adventure,Animation,Comedy",8.0,383446
the secret life of pets,2016,Uni.,75000000,507100000.0,368384330,886750534,"Adventure,Animation,Comedy",6.5,161997
batman v superman: dawn of justice,2016,WB,250000000,543300000.0,330360194,867500281,"Action,Adventure,Fantasy",6.5,576909
fantastic beasts and where to find them,2016,WB,180000000,580000000.0,234037575,802402853,"Adventure,Family,Fantasy",7.3,365353
deadpool,2016,Fox,58000000,420000000.0,363070709,801025593,"Action,Adventure,Comedy",8.0,820847
suicide squad,2016,WB,175000000,421700000.0,325100054,746059887,"Action,Adventure,Fantasy",6.0,533039
doctor strange,2016,BV,165000000,445100000.0,232641920,676404566,"Action,Adventure,Fantasy",7.5,514510
moana,2016,BV,150000000,394600000.0,248757044,637517365,"Adventure,Animation,Comedy",7.6,224253
sing,2016,Uni.,75000000,363800000.0,270329045,634454789,"Animation,Comedy,Family",7.1,115951
x-men: apocalypse,2016,Fox,178000000,388500000.0,155442489,542537546,"Action,Adventure,Sci-Fi",7.0,356556
kung fu panda 3,2016,Fox,140000000,377600000.0,143528619,517599142,"Action,Adventure,Animation",7.1,116166
la la land,2016,LG/S,20000000,295000000.0,151101803,426351163,"Comedy,Drama,Music",8.0,436070
warcraft,2016,Uni.,160000000,386300000.0,47225655,425522281,"Action,Adventure,Fantasy",6.9,225557
jason bourne,2016,Uni.,120000000,253100000.0,162192920,416168316,"Action,Thriller",6.6,190596
ice age: collision course,2016,Fox,105000000,344500000.0,64063008,402156682,"Adventure,Animation,Comedy",5.7,48932
independence day: resurgence,2016,Fox,165000000,286500000.0,103144286,384169424,"Action,Adventure,Sci-Fi",5.2,155344
the legend of tarzan,2016,WB,180000000,230100000.0,126643061,348902025,"Action,Adventure,Drama",6.3,150154
the angry birds movie,2016,Sony,73000000,244800000.0,107509366,352327887,"Action,Animation,Comedy",6.3,69624
trolls,2016,Fox,125000000,193200000.0,153707064,344150134,"Adventure,Animation,Comedy",6.5,63295
star trek beyond,2016,Par.,185000000,184600000.0,158848340,335802233,"Action,Adventure,Sci-Fi",7.1,209844
now you see me 2,2016,LG/S,90000000,269800000.0,65075540,328325007,"Action,Adventure,Comedy",6.5,216219
dangal,2016,UTV,9500000,290500000.0,12391761,294654618,"Action,Biography,Drama",8.5,123638
alice through the looking glass,2016,BV,170000000,222400000.0,77042381,276928112,"Adventure,Family,Fantasy",6.2,79951
teenage mutant ninja turtles: out of the shadows,2016,Par.,135000000,163600000.0,82051601,245328374,"Action,Adventure,Comedy",6.0,77234
sully,2016,WB,60000000,115700000.0,125070033,238524556,"Biography,Drama",7.5,202718
hidden figures,2016,Fox,25000000,66300000.0,169607287,231771716,"Biography,Drama,History",7.8,171131
inferno,2016,Sony,75000000,185700000.0,34343574,219519367,"Action,Adventure,Crime",6.2,138978
central intelligence,2016,WB (NL),50000000,89500000.0,127440871,217194805,"Action,Comedy,Crime",6.3,138872
me before you,2016,WB (NL),20000000,152100000.0,56245075,208265198,"Drama,Romance",7.4,174567
london has fallen,2016,Focus,60000000,143200000.0,62524260,195194085,"Action,Thriller",5.9,124757
arrival,2016,Par.,47000000,102800000.0,100546139,203127894,"Drama,Mystery,Sci-Fi",7.9,515483
bad moms,2016,STX,20000000,70700000.0,113257297,180998716,Comedy,6.2,100952
storks,2016,WB,70000000,110700000.0,72679278,183353431,"Adventure,Animation,Comedy",6.8,50448
the bfg,2016,BV,140000000,127900000.0,55483770,199646680,"Adventure,Family,Fantasy",6.4,69340
hacksaw ridge,2016,LGF,40000000,108100000.0,67209615,168904682,"Biography,Drama,History",8.1,366904
jack reacher: never go back,2016,Par.,60000000,103400000.0,58697076,159946489,"Action,Thriller",6.1,121892
the accountant,2016,WB,40000000,68900000.0,86260045,152962083,"Action,Crime,Drama",7.3,233022
gods of egypt,2016,LG/S,140000000,119500000.0,31153464,138836756,"Action,Adventure,Fantasy",5.4,95111
lights out,2016,WB (NL),5000000,81600000.0,67268835,148806510,"Drama,Horror,Mystery",6.3,100650
sausage party,2016,Sony,19000000,43000000.0,97670358,141344255,"Adventure,Animation,Comedy",6.2,159111
lion,2016,Wein.,12000000,88600000.0,51739495,149570720,"Biography,Drama",8.1,181601
mechanic: resurrection,2016,LG/S,40000000,104500000.0,21218403,109738840,"Action,Adventure,Thriller",5.7,67275
ride along 2,2016,Uni.,40000000,33400000.0,90862685,124827316,"Action,Comedy,Crime",5.9,48688
deepwater horizon,2016,LG/S,156000000,60400000.0,61433527,122603824,"Action,Drama,History",7.1,133303
allied,2016,Par.,106000000,79400000.0,40098064,119266661,"Action,Drama,Romance",7.1,125741
the shallows,2016,Sony,13000000,64000000.0,55121623,118763442,"Drama,Horror,Thriller",6.3,106927
the purge: election year,2016,Uni.,10000000,39400000.0,79042440,118514727,"Action,Horror,Sci-Fi",6.0,80254
why him?,2016,Fox,38000000,57800000.0,60323786,117425156,Comedy,6.2,89628
office christmas party,2016,Par.,45000000,59700000.0,54767494,91323299,Comedy,5.8,59253
how to be single,2016,WB (NL),37000000,65500000.0,46843513,100003780,"Comedy,Drama,Romance",6.1,74329
10 cloverfield lane,2016,Par.,5000000,38100000.0,72082999,108286422,"Drama,Horror,Mystery",7.2,260383
the 5th wave,2016,Sony,38000000,75000000.0,34912982,111336398,"Action,Adventure,Drama",5.2,90788
neighbors 2: sorority rising,2016,Uni.,35000000,52600000.0,55340730,108757621,Comedy,5.7,102793
dirty grandpa,2016,LGF,11500000,58500000.0,35593113,105078449,Comedy,5.9,101393
money monster,2016,TriS,27000000,52300000.0,41012075,93466095,"Crime,Drama,Thriller",6.5,86607
my big fat greek wedding 2,2016,Uni.,18000000,29200000.0,59689605,92096558,"Comedy,Romance",6.0,25933
collateral beauty,2016,WB (NL),36000000,57500000.0,31016021,85309093,"Drama,Romance",6.8,78764
sultan,2016,Yash,11000000,81100000.0,5599781,72989781,"Action,Drama,Sport",7.1,33371
war dogs,2016,WB,50000000,43200000.0,43034523,86234503,"Comedy,Crime,Drama",7.1,154029
nerve,2016,LGF,20000000,46700000.0,38583626,70652284,"Action,Adventure,Crime",6.5,102782
ouija: origin of evil,2016,Uni.,9000000,46600000.0,35144505,81831866,"Drama,Horror,Mystery",6.1,47099
manchester by the sea,2016,RAtt.,8500000,31300000.0,47695371,77733867,Drama,7.8,214557
the boss,2016,Uni.,29000000,15600000.0,63077560,78652207,Comedy,5.4,39096
mike and dave need wedding dates,2016,Fox,33000000,31100000.0,46009673,75898100,"Adventure,Comedy,Romance",6.0,74849
miracles from heaven,2016,TriS,13000000,12200000.0,61705123,73798736,"Biography,Drama,Family",7.1,17734
kubo and the two strings,2016,Focus,55000000,21900000.0,48023088,77548122,"Action,Adventure,Animation",7.8,105578
fences,2016,Par.,24000000,6700000.0,57682904,64282881,Drama,7.2,86749
"hail, caesar!",2016,Uni.,22000000,33100000.0,30080225,64160680,"Comedy,Drama,Music",6.3,111422
the nice guys,2016,WB,50000000,26500000.0,36261763,59596747,"Action,Comedy,Crime",7.4,240337
zoolander 2,2016,Par.,50000000,27900000.0,28848693,55348693,Comedy,4.7,59914
barbershop: the next cut,2016,WB (NL),20000000,1000000.0,54030051,54404202,"Comedy,Drama",5.9,13306
the finest hours,2016,BV,70000000,24500000.0,27569558,49252761,"Action,Drama,History",6.8,55981
patriots day,2016,LGF,40000000,18700000.0,31886361,52837989,"Action,Crime,Drama",7.4,76204
florence foster jenkins,2016,Par.,29000000,21500000.0,27383770,56000339,"Biography,Comedy,Drama",6.8,44970
risen,2016,Sony,20000000,9200000.0,36880033,46255763,"Action,Adventure,Drama",6.3,22813
blair witch,2016,LGF,10000000,24400000.0,20777061,38985577,"Horror,Mystery,Thriller",5.0,36867
almost christmas,2016,Uni.,17000000,422000.0,42065185,42493506,"Comedy,Drama",6.1,5212
hell or high water,2016,LGF,12000000,10900000.0,27007844,37584304,"Action,Crime,Drama",7.6,176469
the forest,2016,Focus,10000000,11000000.0,26594261,40749230,"Horror,Mystery,Thriller",4.8,36423
the forest,2016,Focus,10000000,11000000.0,26594261,40749230,"Drama,Fantasy,Horror",6.5,222
snowden,2016,ORF,50000000,15700000.0,21587519,35380918,"Biography,Drama,Thriller",7.3,119149
when the bough breaks,2016,SGem,10000000,911000.0,29747603,30768449,"Crime,Drama,Horror",5.1,4729
nocturnal animals,2016,Focus,22500000,19600000.0,10663357,32398681,"Drama,Thriller",7.5,205240
the light between oceans,2016,BV,20000000,13400000.0,12545979,22281732,"Drama,Romance",7.2,46247
the brothers grimsby,2016,Sony,35000000,18300000.0,6864016,28720470,"Action,Adventure,Comedy",6.2,82123
free state of jones,2016,STX,50000000,4200000.0,20810036,23237252,"Action,Biography,Drama",6.9,45135
middle school: the worst years of my life,2016,LGF,8500000,3300000.0,20007149,23311293,"Comedy,Family",6.1,6413
triple 9,2016,ORF,20000000,10500000.0,12639297,25943792,"Crime,Thriller",6.3,60369
whiskey tango foxtrot,2016,Par.,35000000,0.0,23083334,25350747,"Biography,Comedy,Drama",6.6,46265
live by night,2016,WB,65000000,12300000.0,10378555,21774432,"Action,Crime,Drama",6.4,47243
fifty shades of black,2016,ORF,5000000,10500000.0,11686940,22113075,Comedy,3.5,17189
keanu,2016,WB (NL),15000000,0.0,20591853,20688141,"Action,Comedy,Crime",6.3,41560
the edge of seventeen,2016,STX,9000000,4400000.0,14431633,19096003,"Comedy,Drama",7.3,87602
norm of the north,2016,LGF,18000000,0.0,17062499,30535660,"Adventure,Animation,Comedy",3.6,7951
pride and prejudice and zombies,2016,SGem,28000000,5500000.0,10907291,16638300,"Action,Comedy,Horror",5.8,46187
the infiltrator,2016,BG,47500000,0.0,15436808,20718104,"Biography,Crime,Drama",7.0,61547
the other side of the door,2016,Fox,5000000,11300000.0,3000342,12905107,Horror,5.3,15813
jackie,2016,FoxS,9000000,0.0,13960394,36588512,"Biography,Drama,History",6.7,66008
shut in,2016,EC,10000000,6200000.0,6900335,11360665,"Drama,Mystery,Thriller",4.7,11030
loving,2016,Focus,9000000,5200000.0,7710234,12898064,"Biography,Drama,Romance",7.0,28079
the darkness,2016,BH Tilt,4000000,0.0,10753574,10898293,"Horror,Thriller",4.4,12435
the darkness,2016,BH Tilt,4000000,0.0,10753574,10898293,Thriller,5.7,196
the perfect match,2016,LGF,5000000,745000.0,9669521,10182050,"Comedy,Romance",4.9,3052
queen of katwe,2016,BV,15000000,1500000.0,8874389,10055481,"Biography,Drama,Sport",7.4,13039
miss sloane,2016,EC,18000000,5600000.0,3500605,7719630,"Drama,Thriller",7.5,52788
morgan,2016,Fox,8000000,4900000.0,3915251,7298786,"Action,Horror,Sci-Fi",5.8,35487
the young messiah,2016,Focus,16800000,0.0,6469813,7313697,"Drama,Fantasy",5.6,2882
incarnate,2016,BH Tilt,5000000,1500000.0,4799774,9371036,"Horror,Thriller",5.3,10217
max steel,2016,ORF,10000000,2500000.0,3818664,4563080,"Action,Adventure,Family",4.6,16788
midnight special,2016,WB,18000000,2500000.0,3712282,7680250,"Action,Drama,Mystery",6.6,67921
genius,2016,RAtt.,17000000,4300000.0,1361045,7265283,"Biography,Drama",6.6,15611
hunt for the wilderpeople,2016,Orch.,2500000,0.0,5205471,23845533,"Adventure,Comedy,Drama",7.9,87532
bleed for this,2016,ORF,16000000,0.0,5083906,6603926,"Biography,Drama,Sport",6.8,21946
